ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	short3_cov	short3_Ocov	short4_cov	short4_Ocov	long_nb	short1_nb	short2_nb	short3_nb	short4_nb
1	5783	2	2	0.000000	15.296213	13.964205	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
2	5315	2	2	0.000000	16.320414	14.864722	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
3	1875	2	2	0.000000	15.284800	14.182400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
4	226	2	2	0.000000	79.500000	70.415929	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
5	11	2	1	0.000000	77.181818	74.636364	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
6	1	2	1	0.000000	80.000000	78.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
7	3	3	1	0.000000	74.333333	72.333333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
8	1636	1	1	0.000000	14.766504	13.467604	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
9	9	1	1	0.000000	34.777778	31.333333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
10	2248	1	2	0.000000	33.223754	30.165925	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
11	4610	2	2	0.000000	13.872234	12.728850	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
12	249	3	2	0.000000	19.393574	17.903614	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
13	2683	2	2	0.000000	15.189713	13.651510	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
14	25	2	1	0.000000	22.960000	22.960000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
15	3	3	1	0.000000	25.666667	25.666667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
16	1	1	1	0.000000	24.000000	24.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
17	25	1	2	0.000000	22.880000	21.760000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
18	3	1	2	0.000000	22.333333	19.333333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
19	14	1	1	0.000000	11.000000	11.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
20	26	1	2	0.000000	13.230769	13.192308	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
21	14	1	1	0.000000	31.357143	27.214286	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
22	550	2	2	0.000000	29.800000	26.960000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
23	1937	2	2	0.000000	16.479608	15.104285	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
24	66	1	1	0.000000	14.151515	13.242424	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
25	2803	2	2	0.000000	15.910453	14.413129	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
26	28	2	1	0.000000	17.857143	15.750000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
27	1	1	1	0.000000	22.000000	22.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
28	18	2	2	0.000000	22.500000	22.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
29	50	1	1	0.000000	17.060000	16.480000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
30	13	2	2	0.000000	39.923077	38.923077	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
31	3596	2	2	0.000000	14.812013	13.484983	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
32	77	1	1	0.000000	17.155844	16.272727	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
33	25	2	2	0.000000	28.280000	17.880000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
34	18	1	1	0.000000	27.444444	17.333333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
35	73	1	1	0.000000	12.383562	11.589041	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
36	8167	2	2	0.000000	15.638178	14.174850	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
37	4709	2	2	0.000000	15.837545	14.327883	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
38	8	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
39	61	1	1	0.000000	15.213115	13.770492	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
40	70	1	1	0.000000	16.871429	14.742857	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
41	66	1	1	0.000000	18.045455	15.803030	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
42	8274	2	2	0.000000	15.924341	14.527556	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
43	13	2	1	0.000000	22.384615	22.384615	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
44	4	2	1	0.000000	20.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
45	12	1	1	0.000000	20.083333	20.083333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
46	13	1	2	0.000000	21.307692	21.307692	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
47	4	1	2	0.000000	21.750000	21.750000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
48	711	2	2	0.000000	16.509142	14.872011	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
49	5336	1	2	0.000000	16.405735	15.124438	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
50	5031	2	2	0.000000	17.079706	15.455178	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
51	6572	2	2	0.000000	14.692635	13.511260	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
52	2779	2	2	0.000000	15.928751	14.454480	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
53	1989	2	2	0.000000	13.872298	12.598291	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
54	732	2	2	0.000000	13.658470	12.584699	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
55	29	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
56	6	2	2	0.000000	22.666667	22.666667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
57	21	1	1	0.000000	20.285714	19.380952	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
